beer_name,beer_style,brewery_name,review_overall,review_aroma,review_palate,review_taste,average_review
Raleigh Red,American Amber / Red Ale,Roth Brewing Company,5.0,5.0,5.0,5.0,5.0
Orval Trappist Ale,Belgian Pale Ale,Brasserie d'Orval S.A.,5.0,5.0,5.0,5.0,5.0
Bourbon Barrel Benchmark,American Strong Ale,Portland Brewing Company,5.0,5.0,5.0,5.0,5.0
Raspberry Black Ice,American Stout,Dark Horse Brewing Company,5.0,5.0,5.0,5.0,5.0
Coors Non-Alcoholic,Low Alcohol Beer,Coors Brewing Company,5.0,5.0,5.0,5.0,5.0
Nieuw Ligt,English Barleywine,Stadsbrouwerij De Hemel,5.0,5.0,5.0,5.0,5.0
Bourbon Aged Porter,American Porter,Skagit River Brewery,5.0,5.0,5.0,5.0,5.0
Hitchhiker,American IPA,Good People Brewing Company,5.0,5.0,5.0,5.0,5.0
Edsten Triple-Wit,Belgian Strong Pale Ale,Edsten Brewing Company,5.0,5.0,5.0,5.0,5.0
McLuhr's Irish Stout,Irish Dry Stout,Dillon Dam Brewery,5.0,5.0,5.0,5.0,5.0
Barley's St. Joan's Revenge,Russian Imperial Stout,Barley's Brewing Company,5.0,5.0,5.0,5.0,5.0
Session Brown Mild Ale,American Brown Ale,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,5.0,5.0,5.0
Kaggen! Stormaktsporter Rauch,Russian Imperial Stout,Närke Kulturbryggeri AB,5.0,5.0,5.0,5.0,5.0
Tank Slapper DIPA,American Double / Imperial IPA,Barley Brown's Brewpub,5.0,5.0,5.0,5.0,5.0
Trois Pistoles,Belgian Strong Dark Ale,Unibroue,5.0,5.0,5.0,5.0,5.0
Mikkel & Menno,Weizenbock,Brouwerij De Molen,5.0,5.0,5.0,5.0,5.0
Bishops Tippel Trippel,Tripel,Main Street Brewery & Lamppost Pizza,5.0,5.0,5.0,5.0,5.0
Stone Ruination IPA With Columbus & Chinook Hops,American Double / Imperial IPA,Stone Brewing Co.,5.0,5.0,5.0,5.0,5.0
Pelican Bay Brown,American Amber / Red Lager,Dockside Restaurant & Brewing Co.,5.0,5.0,5.0,5.0,5.0
Terrapin Gamma Ray,Wheatwine,Terrapin Beer Company,5.0,5.0,5.0,5.0,5.0
Bourbon County Brand Cherry Stout,American Double / Imperial Stout,Goose Island Beer Co.,5.0,5.0,5.0,5.0,5.0
Bourbon Barrel Aged Stout,American Double / Imperial Stout,Kern River Brewing Company,5.0,5.0,5.0,5.0,5.0
Drie Fonteinen Millennium Gueuze,Gueuze,Brouwerij Drie Fonteinen,5.0,5.0,5.0,5.0,5.0
Shiny's Superfresh Wethop IPA,American IPA,Black Raven Brewing Co.,5.0,5.0,5.0,5.0,5.0
Eylenbosch Gueuze,Gueuze,Brouwerij Mort Subite,5.0,5.0,5.0,5.0,5.0
Notorius IPA3,American Double / Imperial IPA,Boneyard Beer Company,5.0,5.0,5.0,5.0,5.0
Empire Doppelbock,Doppelbock,Empire Brewing Company,5.0,5.0,5.0,5.0,5.0
Alesmith Speedway Stout - Toasted Coconut,American Double / Imperial Stout,AleSmith Brewing Company,5.0,5.0,5.0,5.0,5.0
Copper Bock,Bock,Central City Brewing,5.0,5.0,5.0,5.0,5.0
Bray's Imperial Stout,American Double / Imperial Stout,Bray's Brewing Company,5.0,5.0,5.0,5.0,5.0
Chocolate Rain,American Double / Imperial Stout,The Bruery,5.0,5.0,5.0,5.0,5.0
Founders Syrup Del Noche,American Black Ale,Founders Brewing Company,5.0,5.0,5.0,5.0,5.0
Fools Gold Tripel,Tripel,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,5.0,5.0,5.0
Rare Bourbon County Stout,American Double / Imperial Stout,Goose Island Beer Co.,5.0,5.0,5.0,5.0,5.0
Willimantic Autumnal Equinox IPA,American IPA,Willimantic Brewing Co.,5.0,5.0,5.0,5.0,5.0
Margarete,American Double / Imperial Stout,Avery Brewing Company,5.0,5.0,5.0,5.0,5.0
Cantillon Soleil De Minuit,Lambic - Fruit,Brasserie Cantillon,5.0,5.0,5.0,5.0,5.0
Libation,American Double / Imperial IPA,Saint Boniface Craft Brewing Company,5.0,5.0,5.0,5.0,5.0
Tennessee Tat's,American Double / Imperial Stout,Wormtown Brewing Co.,5.0,5.0,5.0,5.0,5.0
(Extra) Old Ale,Old Ale,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,5.0,5.0,5.0
Handsome Mick's Smoked Stout,Irish Dry Stout,The Vermont Pub & Brewery,5.0,5.0,5.0,5.0,5.0
Stone Old Guardian Barley Wine Style Ale 2001,American Barleywine,Stone Brewing Co.,5.0,5.0,5.0,5.0,5.0
George! Bourbonfadlagret,American Double / Imperial Stout,Mikkeller ApS,5.0,5.0,5.0,5.0,5.0
AleSmith Speedway Stout - Brewer's Blend,American Double / Imperial Stout,AleSmith Brewing Company,5.0,5.0,5.0,5.0,5.0
DFG IPA,American IPA,The Bier Brewery,5.0,5.0,5.0,5.0,5.0
Cheyenne Canon Pinon Nut Brown Ale,American Brown Ale,Bristol Brewing Company,5.0,5.0,5.0,5.0,5.0
Belgian Dubbel,Dubbel,The Bier Brewery,5.0,5.0,5.0,5.0,5.0
10th Anniversary Strong Belgian,Belgian Strong Dark Ale,Beach Chalet Brewery and Restaurant,5.0,5.0,5.0,5.0,5.0
Grand Cru 2004,Belgian Strong Pale Ale,John Harvard's Brewery & Ale House,5.0,5.0,5.0,5.0,5.0
Armand'4 Oude Geuze Lente (Spring),Gueuze,Brouwerij Drie Fonteinen,5.0,5.0,5.0,5.0,5.0
Driven Snow,English Porter,Leech Lake Brewing Company,5.0,5.0,5.0,5.0,5.0
Brussels Blonde,Belgian Pale Ale,The Bier Brewery,5.0,5.0,5.0,5.0,5.0
Bourbon Barrel Stout,Milk / Sweet Stout,Pipkin Brewery,5.0,5.0,5.0,5.0,5.0
Ur Wit,Witbier,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,5.0,5.0,5.0
Black Snow Coffee Porter,American Porter,Minneapolis Town Hall Brewery,5.0,5.0,5.0,5.0,5.0
Drie Fonteinen Oude Geuze 1998 (50th Anniversary),Gueuze,Brouwerij Drie Fonteinen,5.0,5.0,5.0,5.0,5.0
Dirac,American Double / Imperial Stout,Cigar City Brewing,5.0,5.0,5.0,5.0,5.0
Geronimo IPA,American Double / Imperial IPA,BrewPub København,5.0,5.0,5.0,5.0,5.0
Head High,American IPA,Kane Brewing Company,5.0,5.0,5.0,5.0,5.0
Samuel Adams Utopias,American Strong Ale,Boston Beer Company (Samuel Adams),5.0,5.0,5.0,5.0,5.0
Oh Brother,Belgian Strong Pale Ale,Papago Brewing,5.0,5.0,5.0,5.0,5.0
Summer Bock,Bock,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,5.0,5.0,5.0
Ommegang Nine Spice Harvest Ale,Herbed / Spiced Beer,Brewery Ommegang,5.0,5.0,5.0,5.0,5.0
Adam From The Wood,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,5.0,5.0,5.0,5.0,5.0
Southampton Belgian Red Ale,Flanders Red Ale,Southampton Publick House,5.0,5.0,5.0,5.0,5.0
Vindicator IPA,American Double / Imperial IPA,Wallace Brewing / Orehouse Tasting Room,5.0,5.0,5.0,5.0,5.0
Pisgah Nitro Stout,American Stout,Pisgah Brewing Co.,5.0,5.0,5.0,5.0,5.0
Dank Imperial Red,American Amber / Red Ale,O'so Brewing Company,5.0,5.0,5.0,5.0,5.0
Sierra Nevada Oaked Imperial Porter,American Porter,Sierra Nevada Brewing Co.,5.0,5.0,5.0,5.0,5.0
Rogue Black Brutal,Schwarzbier,Rogue Ales,5.0,5.0,5.0,5.0,5.0
Rochester Mills Sacri-licious Stout,American Stout,Rochester Mills Beer Co.,5.0,5.0,5.0,5.0,5.0
Third Coast Old Ale,American Barleywine,"Bell's Brewery, Inc.",5.0,5.0,5.0,5.0,5.0
Bell's Hopslam Ale,American Double / Imperial IPA,"Bell's Brewery, Inc.",5.0,5.0,5.0,5.0,5.0
Ziel & Zaligheid,Russian Imperial Stout,Brouwerij De Molen,5.0,5.0,5.0,5.0,5.0
Trappistes Rochefort 8,Dubbel,Brasserie de Rochefort,5.0,5.0,5.0,5.0,5.0
Paw Paw Vanilla Porter,American Porter,Crossroads Brewing Company,5.0,5.0,5.0,5.0,5.0
Date Night With Jumbo Love,American Barleywine,Figure 8 Brewing,5.0,5.0,5.0,5.0,5.0
Old Gander Barley Wine,American Barleywine,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,5.0,5.0,5.0,5.0,5.0
Double Dread Imperial Red Ale,American Amber / Red Ale,Mad River Brewing Company,5.0,5.0,5.0,5.0,5.0
Highland Oak Aged Cold Mountain Winter,Winter Warmer,Highland Brewing,5.0,5.0,5.0,5.0,5.0
Oak Aged Yeti Imperial Stout,Russian Imperial Stout,Great Divide Brewing Company,5.0,5.0,5.0,5.0,5.0
Apple Jaxx,Fruit / Vegetable Beer,Pisgah Brewing Co.,5.0,5.0,5.0,5.0,5.0
War And Peace,Russian Imperial Stout,Fulton Beer,5.0,5.0,5.0,5.0,5.0
Henry Weinhard's Blackberry Wheat,Fruit / Vegetable Beer,Blitz-Weinhard Brewing Co.,5.0,5.0,5.0,5.0,5.0
Exit 6 Wallonian Rye (with Brett),Belgian Pale Ale,Flying Fish Brewing Company,5.0,5.0,5.0,5.0,5.0
Milk Chocolate Stout,Milk / Sweet Stout,Grand Rapids Brewing Co,5.0,5.0,5.0,5.0,5.0
Bitter Creek Wee Bastard,Scotch Ale / Wee Heavy,Bitter Creek Brewing Company,5.0,4.5,5.0,5.0,4.875
Mountain Goat Rapunzel,Belgian Strong Pale Ale,Mountain Goat Beer Pty Ltd,5.0,4.5,5.0,5.0,4.875
Cantillon Gueuze 100% Lambic-Bio (Organic Gueuze),Gueuze,Brasserie Cantillon,5.0,5.0,4.5,5.0,4.875
Hopsichord - Beer Camp #36,American Double / Imperial IPA,Sierra Nevada Brewing Co.,5.0,5.0,4.5,5.0,4.875
Seattle Beer Week 2010 DIPA,American Double / Imperial IPA,Hale's Ales Brewery & Pub,4.5,5.0,5.0,5.0,4.875
Dark Horse Super Juice,American Double / Imperial IPA,Dark Horse Brewing Company,5.0,4.5,5.0,5.0,4.875
Bell's Black Note Stout,American Double / Imperial Stout,"Bell's Brewery, Inc.",5.0,5.0,5.0,4.5,4.875
Twisted Jim,American Barleywine,Minneapolis Town Hall Brewery,5.0,4.5,5.0,5.0,4.875
Old Engine 86,California Common / Steam Beer,West Virginia Brewing Company,5.0,4.5,5.0,5.0,4.875
Bourbon Barrel Aged Da Grind Buzz Imperial Stout (with Vanilla Bean),Russian Imperial Stout,Kona Brewing Co.,5.0,4.5,5.0,5.0,4.875
MELVIN India Pale Ale,American IPA,Thai Me Up,5.0,5.0,4.5,5.0,4.875
Bell's Cherry Stout,American Stout,"Bell's Brewery, Inc.",5.0,5.0,4.5,5.0,4.875
Bert's Best Bitter,English Bitter,John Harvard's Brewery & Ale House,5.0,5.0,5.0,4.5,4.875
Auerbock,Bock,Zero Gravity Craft Brewery / American Flatbread,5.0,5.0,4.5,5.0,4.875
Hop God,Belgian IPA,Nebraska Brewing Company,5.0,4.5,5.0,5.0,4.875
Drie Fonteinen Framboos,Lambic - Fruit,Brouwerij Drie Fonteinen,5.0,5.0,4.5,5.0,4.875
Grain Barrel Stout,American Double / Imperial Stout,Gourmetbryggeriet,5.0,5.0,4.5,5.0,4.875
Timothy's Fear,American Porter,Firehouse Brewing Co.,5.0,5.0,4.5,5.0,4.875
Blueberry Hefeweizen,Hefeweizen,Howe Sound Inn & Brewing Company,5.0,5.0,4.5,5.0,4.875
Ringneck Dead Poets Imperial IPA,American Double / Imperial IPA,The Brew Kettle Taproom & Smokehouse / Production Works,5.0,4.5,5.0,5.0,4.875
Fat Bottom Ale,American IPA,CB's Brewing Company,5.0,4.5,5.0,5.0,4.875
Elves' Elixer 2011,Belgian IPA,Minneapolis Town Hall Brewery,5.0,4.5,5.0,5.0,4.875
Frostbite Ice,American IPA,Bear Republic Brewing Co.,5.0,5.0,4.5,5.0,4.875
He'Brew Jewbelation Vertical (Sazerac Bourbon Barrel Aged),American Strong Ale,Shmaltz Brewing Company,5.0,5.0,4.5,5.0,4.875
Rainier Kriek,American Wild Ale,Double Mountain Brewery & Taproom,5.0,4.5,5.0,5.0,4.875
Honey Wheat Bock,Weizenbock,Milwaukee Ale House,5.0,4.5,5.0,5.0,4.875
Big Boy Double IPA,American Double / Imperial IPA,Five Seasons North,5.0,4.5,5.0,5.0,4.875
Harpoon Oak Aged Imperial IPA,American Double / Imperial IPA,Harpoon Brewery,5.0,4.5,5.0,5.0,4.875
Oak Aged Los Diablos Del Paso,American IPA,Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),5.0,5.0,4.5,5.0,4.875
Riley's Vanilla Mothers Milk Stout,Milk / Sweet Stout,"Paper City Brewery Co., Inc.",5.0,4.5,5.0,5.0,4.875
Dry-Hopped New World Porter,American Porter,Avery Brewing Company,5.0,4.5,5.0,5.0,4.875
Campfire Joe,American Double / Imperial Stout,Big Buck Brewery & Steakhouse #1,5.0,5.0,4.5,5.0,4.875
Underdark,American Double / Imperial Stout,Intuition Ale Works,5.0,5.0,4.5,5.0,4.875
Beerbon Imperial Stout 2002,American Double / Imperial Stout,Big Sky Brewing Company,5.0,5.0,4.5,5.0,4.875
Barrel Aged Stout,Oatmeal Stout,Minneapolis Town Hall Brewery,4.5,5.0,5.0,5.0,4.875
Le Peche,American Wild Ale,Mad River Brewing Company,5.0,5.0,4.5,5.0,4.875
Founders Razz Pale Ale,Fruit / Vegetable Beer,Founders Brewing Company,4.5,5.0,5.0,5.0,4.875
Class X (Bourbon Barrel Aged Class V),American Double / Imperial Stout,Kern River Brewing Company,5.0,4.5,5.0,5.0,4.875
Serpent's Stout - Bourbon Barrel Aged With Cocoa Nibs And Coffee,American Double / Imperial Stout,The Lost Abbey,5.0,5.0,5.0,4.5,4.875
Willamette Pale Ale,American Pale Ale (APA),Minneapolis Town Hall Brewery,5.0,5.0,4.5,5.0,4.875
Hop Attack!!!,American IPA,Minneapolis Town Hall Brewery,5.0,5.0,4.5,5.0,4.875
Imperial SmokED Brown Goose,Smoked Beer,Goose Island Beer Co.,4.5,5.0,5.0,5.0,4.875
Lips Of Faith - Eric's Ale (Bourbon Barrel Aged),American Wild Ale,New Belgium Brewing,5.0,4.5,5.0,5.0,4.875
Bourbon Barley Wine,American Barleywine,Iron Hill Brewery & Restaurant,5.0,4.5,5.0,5.0,4.875
Kuhnhenn A Few Schillings Too Many,Scotch Ale / Wee Heavy,Kuhnhenn Brewing Company,5.0,5.0,4.5,5.0,4.875
Blackberry-Juniper Wheat,Fruit / Vegetable Beer,West Virginia Brewing Company,5.0,5.0,4.5,5.0,4.875
Old Birdbrain,American Barleywine,Black Raven Brewing Co.,5.0,5.0,4.5,5.0,4.875
Wheat IPA,American Pale Wheat Ale,Harper's Restaurant & Brewpub,5.0,4.5,5.0,5.0,4.875
Peg's G.O.O.D. Berliner Weisse,Berliner Weissbier,Peg's Cantina & Brewpub / Cycle Brewing,5.0,4.5,5.0,5.0,4.875
Royal Oil,English Barleywine,Bull & Bush Pub & Brewery,4.5,5.0,5.0,5.0,4.875
Three Hour Tour,Milk / Sweet Stout,Minneapolis Town Hall Brewery,5.0,5.0,4.5,5.0,4.875
Capricho Oscuro - Batch 1,American Strong Ale,Cigar City Brewing,5.0,5.0,5.0,4.5,4.875
Lost Sailor IPA,American IPA,Black Forest Brew Haus & Grill,5.0,4.5,5.0,5.0,4.875
Opus Altar Boy,American Wild Ale,Avery Brewing Company,5.0,5.0,5.0,4.5,4.875
Bavarian Forest Dampfbier,Dunkelweizen,August Schell Brewing Company,5.0,4.5,5.0,5.0,4.875
Trappistes Rochefort 10,Quadrupel (Quad),Brasserie de Rochefort,4.5,5.0,5.0,5.0,4.875
Rail Jumper Chocolate Stout,American Stout,People's Brewing Company,5.0,4.5,5.0,5.0,4.875
Kuhnhenn Raspberry Eisbock,Eisbock,Kuhnhenn Brewing Company,5.0,5.0,4.5,5.0,4.875
Skull And Bones Foxy,American Wild Ale,Bristol Brewing Company,5.0,5.0,5.0,4.5,4.875
Oak Barrel Reverend,Quadrupel (Quad),Avery Brewing Company,5.0,5.0,5.0,4.5,4.875
YuleSmith (Summer),American Double / Imperial IPA,AleSmith Brewing Company,5.0,4.5,5.0,5.0,4.875
Bourbon Barrel Abominable,American Strong Ale,Fremont Brewing Company,5.0,5.0,5.0,4.5,4.875
Great Lakes Commodore Perry IPA,English India Pale Ale (IPA),Great Lakes Brewing Company,5.0,4.5,5.0,5.0,4.875
Hemel & Aarde Bruichladdich Barrel,Russian Imperial Stout,Brouwerij De Molen,5.0,5.0,4.5,5.0,4.875
Whiskey Barrel Aged Okauchee Scotchie,Scotch Ale / Wee Heavy,Delafield Brewhaus,5.0,5.0,5.0,4.5,4.875
Great Lakes Barley Wine,American Barleywine,Great Lakes Brewing Company,5.0,4.5,5.0,5.0,4.875
Humulus Lager With Simcoe Hops,American Double / Imperial Pilsner,The Bruery,5.0,5.0,5.0,4.5,4.875
Peg's G.O.O.D. Dancing Cody IIPA - Square Dance,American Double / Imperial IPA,Peg's Cantina & Brewpub / Cycle Brewing,5.0,5.0,5.0,4.5,4.875
Burly Belgo India Pale Ale,Belgian IPA,North Peak Brewing Company,5.0,4.5,5.0,5.0,4.875
Oatmeal Ellie,Oatmeal Stout,Seven Brides Brewing,5.0,5.0,4.5,5.0,4.875
508 Montezuma Imperial Stout,Russian Imperial Stout,508 Gastrobrewery,5.0,4.5,5.0,5.0,4.875
Winter Tilt FestivAle,Belgian Dark Ale,Empyrean Brewing Company,5.0,5.0,5.0,4.5,4.875
McBane's Strawberry Wit,Witbier,CB's Brewing Company,5.0,4.5,5.0,5.0,4.875
Hel & Verdoemenis Misto B.A.,Russian Imperial Stout,Brouwerij De Molen,5.0,4.5,5.0,5.0,4.875
Bourbon Barrel Coffee Night Train,American Porter,O'so Brewing Company,5.0,4.5,5.0,5.0,4.875
Roggenator,Roggenbier,Beaver Brewing Company,5.0,4.5,5.0,5.0,4.875
Porter Porter,American Porter,Harmon Restaurant & Brewery,5.0,4.5,5.0,5.0,4.875
Quaker Oatmeal Stout,Oatmeal Stout,Third Base Sports Bar & Brewery,5.0,4.5,5.0,5.0,4.875
McSteamy,California Common / Steam Beer,Starr Hill Brewery,5.0,5.0,4.5,5.0,4.875
Dark Funk,Flanders Red Ale,Feral Brewing Co.,5.0,5.0,4.5,5.0,4.875
Dry Hopped Abominable Ale,American Amber / Red Ale,Hopworks Urban Brewery,5.0,5.0,4.5,5.0,4.875
Barrel Licked Bock,Doppelbock,Fort Collins Brewing,5.0,5.0,4.5,5.0,4.875
Dark Horse Octoberfest,Märzen / Oktoberfest,Dark Horse Brewing Company,5.0,4.5,5.0,5.0,4.875
Kuhnhenn Weiss Teufel (White Devil),Weizenbock,Kuhnhenn Brewing Company,5.0,4.5,5.0,5.0,4.875
Bishop's Bitter,English Bitter,Sherlock's Home,5.0,4.5,5.0,5.0,4.875
Jai Alai IPA - Guava - Cedar Aged (Humidor Series),American IPA,Cigar City Brewing,5.0,4.5,5.0,5.0,4.875
Saucerful O' Secrets,Quadrupel (Quad),Firestone Walker Brewing Co.,5.0,5.0,4.5,5.0,4.875
1908,Smoked Beer,Witch's Hat Brewing Co.,4.5,5.0,5.0,5.0,4.875
StoneWall Ale,American Barleywine,Stone Brewing Co.,5.0,4.5,5.0,5.0,4.875
Penguin XX Imperial Stout,American Double / Imperial Stout,Maui Brewing Co. (Brewpub),5.0,4.5,5.0,5.0,4.875
Mühlen Kölsch,Kölsch,Brauerei zur Malzmühle Schwartz KG,5.0,4.5,5.0,5.0,4.875
Blue Point White IPA,Belgian IPA,Blue Point Brewing Company,5.0,5.0,5.0,4.5,4.875
LeBleu,American Wild Ale,Ithaca Beer Company,5.0,5.0,4.5,5.0,4.875
Vanilla Oatis,Oatmeal Stout,Ninkasi Brewing Company,5.0,5.0,4.5,5.0,4.875
Missouri River Steamboat Lager,California Common / Steam Beer,Blackfoot River Brewing Company,5.0,5.0,4.5,5.0,4.875
Red Hot Shocker,Fruit / Vegetable Beer,Dark Horse Brewing Company,5.0,5.0,4.5,5.0,4.875
Homegrown IPA,American IPA,Elk Creek Cafe & Aleworks,5.0,5.0,4.5,5.0,4.875
Brouwers Imagination Series #2 Strong Sour,American Wild Ale,Port Brewing Company / Pizza Port,5.0,5.0,4.5,5.0,4.875
Pumpkin Brewster,Pumpkin Ale,Sixpoint Brewery,5.0,4.5,5.0,5.0,4.875
Funky Barrel,American Wild Ale,Port Brewing Company / Pizza Port,5.0,5.0,4.5,5.0,4.875
Blackbird Porter,American Porter,Five Seasons Prado,5.0,4.5,5.0,5.0,4.875
Legless Knight,Russian Imperial Stout,Felstar Brewery & Felstead Vineyard,4.5,5.0,5.0,5.0,4.875
Wise's Weiss,Hefeweizen,Founders Restaurant & Brewing Co.,5.0,4.5,5.0,5.0,4.875
Silver Back Stout,Oatmeal Stout,Brass Monkey Brewing Co.,5.0,5.0,4.5,5.0,4.875
Terrapin Big Sloppy Monster,American Amber / Red Ale,Terrapin Beer Company,5.0,5.0,4.5,5.0,4.875
Barley's Cherry Porter,Fruit / Vegetable Beer,Barley's Brewing Company,5.0,4.5,5.0,5.0,4.875
Dark Horse Crooked Tree IPA,American IPA,Dark Horse Brewing Company,5.0,4.5,5.0,5.0,4.875
Willimantic Postage Due Doppelbock,Doppelbock,Willimantic Brewing Co.,5.0,4.5,5.0,5.0,4.875
Hartmann Bockbier,Bock,Brauerei Gasthof Hartmann,5.0,4.5,5.0,5.0,4.875
Smokey The Rye Beer,Weizenbock,Port Brewing Company / Pizza Port,5.0,5.0,5.0,4.5,4.875
Marshal Zhukov's Imperial Stout - Zhukov's Final Push,Russian Imperial Stout,Cigar City Brewing,5.0,5.0,4.5,5.0,4.875
Harper's American Pale Ale,American Pale Ale (APA),Founders Restaurant & Brewing Co.,5.0,4.5,5.0,5.0,4.875
Il Vicino Saison,Saison / Farmhouse Ale,Il Vicino Brewery Canteen,5.0,5.0,4.5,5.0,4.875
For Peet's Sake,American Brown Ale,Port Brewing Company / Pizza Port,5.0,5.0,4.5,5.0,4.875
Willimantic IPA Squared,American Double / Imperial IPA,Willimantic Brewing Co.,5.0,4.5,5.0,5.0,4.875
Mathias Imperial IPA,American Double / Imperial IPA,Haymarket Pub & Brewery,5.0,5.0,4.5,5.0,4.875
Clubfoot Ale,American Strong Ale,Etna Brewery,5.0,5.0,4.5,5.0,4.875
Isosceles,American Barleywine,Ladyface Ale Companie,4.5,5.0,5.0,5.0,4.875
Pakala Porter,English Porter,Waimea Brewing Company,5.0,5.0,4.5,5.0,4.875
Cantillon Blåbær Lambik,Lambic - Fruit,Brasserie Cantillon,5.0,5.0,4.5,5.0,4.875
Blue Reserve - Wet Hopped Hop Harvest Edition,Belgian Strong Pale Ale,Blue Mountain Brewery,5.0,5.0,4.5,5.0,4.875
Ancient Wheat,American Pale Wheat Ale,Fossil Fuels Brewing Company,5.0,5.0,5.0,4.5,4.875
Schönramer Saphir Bock,Doppelbock,Private Landbrauerei Schönram,5.0,5.0,4.5,5.0,4.875
Jasper Murdock's Private Stock '04,English Barleywine,"Jasper Murdock’s Alehouse, Dining Room & Microbrewery",5.0,4.5,5.0,5.0,4.875
Brute,American Wild Ale,Ithaca Beer Company,5.0,5.0,5.0,4.5,4.875
Black Damnation Molen's 666 Edition,Russian Imperial Stout,Brouwerij De Molen,5.0,5.0,4.5,5.0,4.875
Pinch Hit Pils,German Pilsener,SandLot Brewery @ Coors Field,5.0,4.5,5.0,5.0,4.875
Black Folie,American Wild Ale,New Belgium Brewing,5.0,5.0,4.5,5.0,4.875
Cantillon Bourgogne Lambic,Lambic - Unblended,Brasserie Cantillon,5.0,4.5,5.0,5.0,4.875
Tetley's Mild,English Dark Mild Ale,Carlsberg-Tetley Brewing Ltd,5.0,5.0,4.5,5.0,4.875
Dominion Cherry Wheat,Fruit / Vegetable Beer,Old Dominion Brewing Company,5.0,5.0,4.5,5.0,4.875
E.S.B.,Extra Special / Strong Bitter (ESB),Broad Ripple Brew Pub,5.0,5.0,5.0,4.5,4.875
Calapooia Barleywine,American Barleywine,Calapooia Brewing Company,5.0,5.0,4.5,5.0,4.875
TC 350 Earth Day Triple IPA,American Double / Imperial IPA,Right Brain Brewery,5.0,5.0,4.5,5.0,4.875
Starkenberger Gold Lager,Euro Pale Lager,Brauerei Schloss Starkenberg,5.0,5.0,4.5,5.0,4.875
Cantillon La Dernière Cuvée Du 89,Lambic - Unblended,Brasserie Cantillon,5.0,4.5,5.0,5.0,4.875
Spinnakers Tsarist Imperial Stout,Russian Imperial Stout,Spinnakers Gastro Brewpub & Guesthouse,5.0,5.0,4.5,5.0,4.875
Unplugged Belgian Quadruple,Quadrupel (Quad),New Glarus Brewing Company,5.0,4.5,5.0,5.0,4.875
Founders Sappy Slappy Bastard,Scotch Ale / Wee Heavy,Founders Brewing Company,5.0,4.5,5.0,5.0,4.875
10th Anniversary Bock-style Red Fox,Bock,Ezo Beer KK,5.0,4.5,5.0,5.0,4.875
Monon Porter,American Porter,Broad Ripple Brew Pub,5.0,5.0,5.0,4.5,4.875
